,2PM,2PA,3PM,3PA,FTM,FTA,OFF,DEF,AST,TO,STL,BLK,PF,Fls on:,+/-,GW,GP,MINS,FGM,FGA,FG%,2P%,3P%,FT%,PTS,REB,STK
EAC,287.0,688.0,122.0,455.0,259.0,407.0,225.0,486.0,269.0,217.0,115.0,54.0,345.0,351.0,14.0,110.0,16.0,3200.0,409.0,1143.0,35.7830271216098,41.71511627906977,26.813186813186814,63.63636363636363,1199.0,711.0,169.0
AU,343.0,740.0,112.0,372.0,251.0,365.0,185.0,493.0,295.0,259.0,112.0,52.0,380.0,319.0,55.0,135.0,16.0,3200.0,455.0,1112.0,40.91726618705036,46.351351351351354,30.107526881720432,68.76712328767124,1273.0,678.0,164.0
SBU,242.0,569.0,107.0,448.0,167.0,255.0,158.0,365.0,206.0,152.0,89.0,41.0,288.0,271.0,-89.0,62.0,15.0,3000.0,349.0,1017.0,34.31661750245821,42.53075571177504,23.883928571428573,65.49019607843137,972.0,523.0,130.0
CSJL,345.0,764.0,113.0,442.0,214.0,326.0,222.0,412.0,293.0,179.0,136.0,45.0,324.0,319.0,41.0,112.0,16.0,3200.0,458.0,1206.0,37.97678275290215,45.15706806282723,25.56561085972851,65.6441717791411,1243.0,634.0,181.0
JRU,381.0,719.0,96.0,349.0,248.0,379.0,167.0,396.0,223.0,218.0,132.0,57.0,367.0,348.0,73.2,155.0,16.0,3200.0,477.0,1068.0,44.662921348314605,52.990264255910986,27.507163323782233,65.4353562005277,1298.0,563.0,189.0
SSCR,369.0,692.0,115.0,376.0,318.0,496.0,174.0,498.0,343.0,271.0,104.0,55.0,306.0,406.0,68.6,145.0,16.0,3200.0,484.0,1068.0,45.3183520599251,53.323699421965316,30.585106382978722,64.11290322580645,1401.0,672.0,159.0
CSB,318.0,720.0,100.0,426.0,186.0,307.0,180.0,346.0,214.0,173.0,142.0,47.0,318.0,299.0,-161.0,35.0,16.0,3200.0,418.0,1146.0,36.474694589877835,44.166666666666664,23.474178403755868,60.586319218241044,1122.0,526.0,189.0
MU,297.0,664.0,93.0,340.0,275.0,423.0,148.0,398.0,239.0,219.0,114.0,47.0,308.0,362.0,-56.0,35.0,16.0,3200.0,390.0,1004.0,38.844621513944226,44.7289156626506,27.352941176470587,65.01182033096927,1148.0,546.0,161.0
LPU,360.0,686.0,122.0,420.0,224.0,360.0,197.0,458.0,310.0,229.0,106.0,51.0,359.0,315.0,8.0,102.0,16.0,3200.0,482.0,1106.0,43.58047016274865,52.478134110787174,29.047619047619047,62.22222222222222,1310.0,655.0,157.0
UPHSD,271.0,636.0,149.0,533.0,181.0,298.0,206.0,431.0,266.0,226.0,160.0,38.0,325.0,288.0,46.0,144.0,17.0,3400.0,420.0,1169.0,35.92814371257485,42.61006289308176,27.954971857410882,60.738255033557046,1170.0,637.0,198.0
League,321.3,687.8,112.9,416.1,232.3,361.6,186.2,428.3,265.8,214.3,121.0,48.7,332.0,327.8,-0.019999999999998862,103.5,16.0,3200.0,434.20000000000005,1103.9,39.33327294138962,46.71416109334109,27.132900745013217,64.24225663716814,1213.6000000000001,614.5,169.7
