TEAM,2PM,2PA,3PM,3PA,FTM,FTA,OFF,DEF,AST,TO,STL,BLK,PF,Fls on:,+/-,GW,GP,MINS,FGM,FGA,FG%,2P%,3P%,FT%,PTS,REB,STK
CSB,20.0,44.57142857142857,5.857142857142857,29.714285714285715,10.857142857142858,18.571428571428573,12.142857142857142,20.857142857142858,11.857142857142858,11.857142857142858,9.0,3.2857142857142856,19.428571428571427,18.571428571428573,-13.142857142857142,14.0,7.0,200.0,25.857142857142858,74.28571428571429,34.8076923077,44.8717948718,19.711538461499998,58.4615384615,68.42857142857143,33.0,12.285714285714286
SBU,16.142857142857142,38.57142857142857,8.0,32.714285714285715,11.142857142857142,17.0,10.857142857142858,26.0,14.857142857142858,8.857142857142858,5.714285714285714,3.0,22.428571428571427,17.857142857142858,-3.5714285714285716,38.0,7.0,200.0,24.142857142857142,71.28571428571429,33.8677354709,41.8518518519,24.4541484716,65.5462184874,67.42857142857143,36.857142857142854,8.714285714285714
MU,17.428571428571427,41.57142857142857,6.571428571428571,21.857142857142858,19.714285714285715,28.142857142857142,9.428571428571429,26.714285714285715,15.142857142857142,13.428571428571429,7.428571428571429,3.0,19.142857142857142,23.142857142857142,-3.142857142857143,23.0,7.0,200.0,24.0,63.42857142857143,37.8378378378,41.9243986254,30.0653594771,70.0507614213,74.28571428571429,36.142857142857146,10.428571428571429
CSJL,20.625,48.125,6.5,28.125,13.0,20.625,14.375,24.5,15.125,10.25,8.0,3.0,18.875,20.375,-0.5,37.0,8.0,200.0,27.125,76.25,35.5737704918,42.8571428571,23.1111111111,63.0303030303,73.75,38.875,11.0
League,20.27777777777778,43.59722222222222,6.986111111111111,26.59722222222222,15.11111111111111,23.23611111111111,12.01388888888889,27.555555555555557,15.86111111111111,13.180555555555555,7.472222222222221,3.263888888888889,21.069444444444443,20.75,0.0,47.2,7.2,200.0,27.26388888888889,70.19444444444444,38.8405223585,46.511627907,26.2663185379,65.0328750747,76.625,39.56944444444444,10.73611111111111
AU,20.0,44.57142857142857,8.0,26.142857142857142,17.0,24.285714285714285,10.142857142857142,30.571428571428573,17.571428571428573,15.428571428571429,7.142857142857143,4.285714285714286,23.0,19.857142857142858,1.0,66.0,7.0,200.0,28.0,70.71428571428571,39.595959596,44.8717948718,30.6010928962,70.0,81.0,40.714285714285715,11.428571428571429
UPHSD,18.428571428571427,41.857142857142854,7.0,30.142857142857142,11.142857142857142,18.857142857142858,13.714285714285714,28.571428571428573,14.142857142857142,13.142857142857142,9.142857142857142,2.5714285714285716,19.142857142857142,17.142857142857142,1.4285714285714286,38.0,7.0,200.0,25.428571428571427,72.0,35.3174603175,44.0273037543,23.2227488152,59.0909090909,69.0,42.285714285714285,11.714285714285714
EAC,18.714285714285715,42.857142857142854,6.714285714285714,26.285714285714285,16.285714285714285,26.0,13.857142857142858,32.285714285714285,16.428571428571427,14.428571428571429,6.714285714285714,3.4285714285714284,22.142857142857142,22.571428571428573,1.5714285714285714,53.0,7.0,200.0,25.428571428571427,69.14285714285714,36.7768595041,43.6666666667,25.5434782609,62.6373626374,73.85714285714286,46.142857142857146,10.142857142857142
LPU,24.285714285714285,44.42857142857143,8.285714285714286,27.0,16.0,25.428571428571427,13.428571428571429,29.857142857142858,18.714285714285715,13.142857142857142,6.428571428571429,3.2857142857142856,22.0,21.571428571428573,3.0,57.0,7.0,200.0,32.57142857142857,71.42857142857143,45.6,54.6623794212,30.687830687800002,62.9213483146,89.42857142857143,43.285714285714285,9.714285714285714
JRU,23.714285714285715,45.714285714285715,6.571428571428571,21.714285714285715,15.285714285714286,21.714285714285715,11.142857142857142,24.285714285714285,13.857142857142858,13.571428571428571,8.571428571428571,3.4285714285714284,24.714285714285715,19.857142857142858,4.857142857142857,69.0,7.0,200.0,30.285714285714285,67.42857142857143,44.9152542373,51.875,30.2631578947,70.3947368421,82.42857142857143,35.42857142857143,12.0
SSCR,23.0,43.125,6.5,22.625,20.25,31.0,10.875,31.75,20.375,17.5,6.625,3.375,20.25,25.875,7.5,77.0,8.0,200.0,29.5,65.75,44.8669201521,53.3333333333,28.729281768,65.3225806452,85.75,42.625,10.0
