TEAM,MINS,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP,W,L,FG%,2P%,3P%,FT%
AU,1050.0,155.0,376.0,135.0,289.0,20.0,87.0,69.0,128.0,399.0,58.0,152.0,210.0,75.0,63.0,50.0,14.0,64.0,96.0,115.0,-6.0,14.0,5.0,1.0,4.0,41.223404255319146,46.71280276816609,22.988505747126435,53.90625
CSB,1025.0,145.0,362.0,114.0,230.0,31.0,132.0,51.0,88.0,372.0,78.0,161.0,239.0,73.0,70.0,39.0,19.0,58.0,97.0,95.0,65.0,55.0,5.0,4.0,1.0,40.05524861878453,49.56521739130435,23.484848484848484,57.95454545454545
CSJL,1000.0,126.0,311.0,93.0,185.0,33.0,126.0,88.0,118.0,373.0,51.0,129.0,180.0,69.0,75.0,32.0,24.0,56.0,111.0,103.0,-5.0,41.0,5.0,3.0,2.0,40.51446945337621,50.270270270270274,26.19047619047619,74.57627118644068
EAC,1025.0,113.0,357.0,74.0,208.0,39.0,149.0,78.0,139.0,343.0,56.0,139.0,195.0,87.0,61.0,37.0,23.0,60.0,116.0,114.0,-11.0,27.0,5.0,2.0,3.0,31.65266106442577,35.57692307692308,26.174496644295303,56.115107913669064
JRU,1000.0,125.0,335.0,94.0,226.0,31.0,109.0,89.0,132.0,370.0,62.0,111.0,173.0,84.0,67.0,34.0,26.0,60.0,102.0,119.0,-30.0,15.0,5.0,1.0,4.0,37.3134328358209,41.5929203539823,28.440366972477065,67.42424242424242
LPU,825.0,121.0,286.0,86.0,171.0,35.0,115.0,66.0,99.0,343.0,37.0,114.0,151.0,76.0,55.0,26.0,9.0,35.0,95.0,86.0,-9.0,27.0,4.0,2.0,2.0,42.30769230769231,50.292397660818715,30.434782608695652,66.66666666666667
MU,800.0,99.0,269.0,63.0,146.0,36.0,123.0,48.0,78.0,282.0,48.0,110.0,158.0,61.0,50.0,35.0,10.0,45.0,92.0,69.0,11.0,35.0,4.0,3.0,1.0,36.80297397769517,43.15068493150685,29.26829268292683,61.53846153846154
SBU,1025.0,121.0,311.0,80.0,185.0,41.0,126.0,78.0,132.0,361.0,66.0,157.0,223.0,62.0,69.0,22.0,16.0,38.0,95.0,119.0,25.0,42.0,5.0,3.0,2.0,38.90675241157556,43.24324324324324,32.53968253968254,59.09090909090909
SSCR,1200.0,161.0,472.0,125.0,272.0,36.0,200.0,102.0,135.0,460.0,85.0,141.0,226.0,82.0,68.0,58.0,7.0,65.0,168.0,124.0,-39.0,26.0,6.0,2.0,4.0,34.110169491525426,45.955882352941174,18.0,75.55555555555556
UPHSD,1200.0,146.0,401.0,114.0,261.0,32.0,140.0,76.0,124.0,400.0,69.0,178.0,247.0,98.0,88.0,46.0,23.0,69.0,109.0,117.0,-1.0,48.0,6.0,4.0,2.0,36.408977556109726,43.67816091954023,22.857142857142858,61.29032258064516
League,1015.0,131.2,348.0,97.8,217.3,33.4,130.7,74.5,117.3,370.3,61.0,139.2,200.2,76.7,66.6,37.9,17.1,55.0,108.1,106.1,0.0,33.0,5.0,2.5,2.5,37.70114942528735,45.00690289921767,25.554705432287683,63.512361466325665
