TEAM,MINS,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP,W,L,FG%,2P%,3P%,FT%,W%
CSB,203.57142857142858,30.357142857142858,69.14285714285714,23.285714285714285,43.42857142857143,7.071428571428571,25.714285714285715,12.714285714285714,21.785714285714285,80.5,13.857142857142858,31.285714285714285,45.142857142857146,17.857142857142858,15.571428571428571,7.5,3.857142857142857,11.357142857142858,19.285714285714285,19.571428571428573,11.285714285714286,168.0,14.0,12.0,2.0,43.9049586777,53.6184210526,27.5,58.3606557377,0.8571428571428571
MU,201.78571428571428,26.714285714285715,68.64285714285714,18.214285714285715,38.92857142857143,8.5,29.714285714285715,13.642857142857142,21.928571428571427,75.57142857142857,13.285714285714286,26.5,39.785714285714285,16.142857142857142,13.571428571428571,7.642857142857143,2.5,10.142857142857142,23.714285714285715,19.642857142857142,2.8714285714285714,132.0,14.0,11.0,3.0,38.9177939646,46.7889908257,28.6057692308,62.2149837134,0.7857142857142857
SBU,203.33333333333334,24.8,63.46666666666667,15.8,35.93333333333333,9.0,27.533333333333335,12.133333333333333,20.4,70.73333333333333,11.0,28.933333333333334,39.93333333333333,14.133333333333333,11.666666666666666,5.066666666666666,2.6,7.666666666666667,18.133333333333333,19.066666666666666,5.933333333333334,133.0,15.0,10.0,5.0,39.0756302521,43.9703153989,32.6876513317,59.477124183,0.6666666666666666
League,203.7162162162162,27.135135135135137,69.19594594594594,20.054054054054053,43.0472972972973,7.081081081081081,26.14864864864865,14.68918918918919,22.817567567567565,76.04054054054055,11.682432432432432,26.851351351351347,38.533783783783775,16.41216216216216,13.358108108108107,7.5675675675675675,3.054054054054054,10.621621621621621,20.91891891891892,20.635135135135133,-0.0013513513513513512,96.2,14.8,7.4,7.4,39.2149204179,46.586093235,27.0801033592,64.3766656796,0.5
CSJL,208.33333333333334,26.066666666666666,64.8,19.133333333333333,38.666666666666664,6.933333333333334,26.133333333333333,15.866666666666667,21.533333333333335,74.93333333333334,9.0,28.733333333333334,37.733333333333334,15.6,15.733333333333333,5.866666666666666,4.333333333333333,10.2,20.4,20.333333333333332,-2.4,90.0,15.0,7.0,8.0,40.2263374486,49.4827586207,26.5306122449,73.6842105263,0.4666666666666667
EAC,201.66666666666666,26.066666666666666,71.73333333333333,17.733333333333334,43.4,8.333333333333334,28.333333333333332,13.933333333333334,24.333333333333332,74.4,12.0,26.8,38.8,17.533333333333335,12.933333333333334,7.466666666666667,3.6666666666666665,11.133333333333333,22.2,21.466666666666665,-1.6266666666666665,98.0,15.0,7.0,8.0,36.3382899628,40.8602150538,29.4117647059,57.2602739726,0.4666666666666667
LPU,203.33333333333334,28.2,69.8,20.533333333333335,40.86666666666667,7.666666666666667,28.933333333333334,17.266666666666666,24.4,81.33333333333333,9.666666666666666,25.933333333333334,35.6,17.533333333333335,12.0,7.666666666666667,1.6666666666666667,9.333333333333334,20.0,21.866666666666667,-0.6666666666666666,89.0,15.0,7.0,8.0,40.4011461318,50.2446982055,26.4976958525,70.7650273224,0.4666666666666667
AU,203.33333333333334,28.866666666666667,71.26666666666667,24.466666666666665,51.733333333333334,4.4,19.533333333333335,15.133333333333333,26.466666666666665,77.26666666666667,11.733333333333333,24.933333333333334,36.666666666666664,15.266666666666667,12.466666666666667,10.266666666666667,3.0,13.266666666666667,20.333333333333332,23.266666666666666,-3.0,75.0,15.0,6.0,9.0,40.5051449953,47.293814433,22.5255972696,57.1788413098,0.4
UPHSD,206.66666666666666,24.133333333333333,66.4,18.066666666666666,42.4,6.066666666666666,24.0,12.0,19.0,66.33333333333333,11.6,28.8,40.4,17.4,14.333333333333334,7.333333333333333,3.7333333333333334,11.066666666666666,17.933333333333334,18.466666666666665,-1.4,67.0,15.0,6.0,9.0,36.3453815261,42.6100628931,25.2777777778,63.1578947368,0.4
JRU,200.0,26.666666666666668,68.6,21.733333333333334,48.4,4.933333333333334,20.2,18.066666666666666,26.4,76.33333333333333,12.133333333333333,23.2,35.333333333333336,17.6,13.933333333333334,7.533333333333333,3.6666666666666665,11.2,21.466666666666665,22.933333333333334,-4.733333333333333,58.0,15.0,4.0,11.0,38.8726919339,44.9035812672,24.4224422442,68.4343434343,0.26666666666666666
SSCR,205.0,29.666666666666668,78.06666666666666,21.666666666666668,46.46666666666667,8.0,31.6,15.933333333333334,21.8,83.26666666666667,12.8,23.666666666666668,36.46666666666667,15.133333333333333,11.533333333333333,9.333333333333334,1.5333333333333334,10.866666666666667,25.8,19.6,-5.333333333333333,52.0,15.0,4.0,11.0,38.0017079419,46.6284074605,25.3164556962,73.0886850153,0.26666666666666666
