,2PM,2PA,3PM,3PA,FTM,FTA,OFF,DEF,AST,TO,STL,BLK,PF,Fls on:,+/-,GW,GP,MINS,FGM,FGA,FG%,2P%,3P%,FT%,PTS,REB,STK
UPHSD,249.0,593.0,137.0,501.0,178.0,294.0,197.0,406.0,245.0,209.0,150.0,38.0,298.0,278.0,35.0,129.0,16.0,3200.0,386.0,1094.0,35.283363802559414,41.989881956155145,27.345309381237524,60.54421768707483,1087.0,603.0,188.0
CSJL,319.0,720.0,109.0,422.0,195.0,301.0,211.0,381.0,263.0,164.0,131.0,40.0,311.0,300.0,36.0,100.0,15.0,3000.0,428.0,1142.0,37.478108581436075,44.30555555555556,25.829383886255926,64.78405315614619,1160.0,592.0,171.0
SSCR,352.0,655.0,109.0,356.0,298.0,463.0,164.0,472.0,322.0,252.0,96.0,49.0,296.0,379.0,79.6,145.0,15.0,3000.0,461.0,1011.0,45.59841740850643,53.74045801526717,30.617977528089888,64.36285097192224,1329.0,636.0,145.0
EAC,268.0,636.0,119.0,420.0,247.0,383.0,206.0,455.0,257.0,210.0,107.0,49.0,325.0,328.0,24.0,110.0,15.0,3000.0,387.0,1056.0,36.64772727272727,42.138364779874216,28.333333333333332,64.49086161879896,1140.0,661.0,156.0
MU,277.0,628.0,86.0,313.0,263.0,403.0,135.0,371.0,223.0,206.0,111.0,42.0,291.0,342.0,-54.0,35.0,15.0,3000.0,363.0,941.0,38.5759829968119,44.10828025477707,27.476038338658146,65.26054590570719,1075.0,506.0,153.0
CSB,283.0,637.0,80.0,369.0,163.0,278.0,164.0,305.0,180.0,160.0,128.0,45.0,279.0,269.0,-158.0,25.0,14.0,2800.0,363.0,1006.0,36.083499005964214,44.42700156985871,21.680216802168022,58.63309352517986,969.0,469.0,173.0
LPU,360.0,686.0,122.0,420.0,224.0,360.0,197.0,458.0,310.0,229.0,106.0,51.0,359.0,315.0,8.0,102.0,16.0,3200.0,482.0,1106.0,43.58047016274865,52.478134110787174,29.047619047619047,62.22222222222222,1310.0,655.0,157.0
AU,320.0,685.0,107.0,353.0,243.0,349.0,170.0,453.0,276.0,245.0,110.0,49.0,357.0,299.0,45.0,122.0,15.0,3000.0,427.0,1038.0,41.13680154142582,46.715328467153284,30.311614730878187,69.62750716332378,1204.0,623.0,159.0
JRU,381.0,719.0,96.0,349.0,248.0,379.0,167.0,396.0,223.0,218.0,132.0,57.0,367.0,348.0,73.2,155.0,16.0,3200.0,477.0,1068.0,44.662921348314605,52.990264255910986,27.507163323782233,65.4353562005277,1298.0,563.0,189.0
SBU,242.0,569.0,107.0,448.0,167.0,255.0,158.0,365.0,206.0,152.0,89.0,41.0,288.0,271.0,-89.0,62.0,15.0,3000.0,349.0,1017.0,34.31661750245821,42.53075571177504,23.883928571428573,65.49019607843137,972.0,523.0,130.0
League,305.1,652.8,107.2,395.1,222.6,346.5,176.9,406.2,250.5,204.5,116.0,46.1,317.1,312.9,-0.020000000000000285,98.5,15.2,3040.0,412.3,1047.9,39.34535738142952,46.73713235294119,27.132371551505948,64.24242424242425,1154.4,583.1,162.1
