,2PM,2PA,3PM,3PA,FTM,FTA,OFF,DEF,AST,TO,STL,BLK,PF,Fls on:,+/-,GW,GP,MINS,FGM,FGA,FG%,2P%,3P%,FT%,PTS,REB,STK
EAC,308.0,731.0,126.0,482.0,279.0,435.0,238.0,523.0,286.0,227.0,119.0,58.0,364.0,373.0,23.0,125.0,17.0,3400.0,434.0,1213.0,35.77906018136851,42.13406292749658,26.141078838174273,64.13793103448276,1273.0,761.0,177.0
CSB,334.0,764.0,106.0,447.0,198.0,327.0,188.0,374.0,225.0,179.0,144.0,48.0,338.0,319.0,-169.0,35.0,17.0,3400.0,440.0,1211.0,36.33360858794385,43.717277486910994,23.713646532438478,60.55045871559633,1184.0,562.0,192.0
JRU,404.0,752.0,99.0,365.0,279.0,427.0,176.0,417.0,241.0,234.0,143.0,60.0,393.0,379.0,77.2,167.0,17.0,3400.0,503.0,1117.0,45.0313339301701,53.723404255319146,27.123287671232877,65.33957845433255,1384.0,593.0,203.0
SSCR,369.0,692.0,115.0,376.0,318.0,496.0,174.0,498.0,343.0,271.0,104.0,55.0,306.0,406.0,68.6,145.0,16.0,3200.0,484.0,1068.0,45.3183520599251,53.323699421965316,30.585106382978722,64.11290322580645,1401.0,672.0,159.0
CSJL,384.0,863.0,120.0,481.0,253.0,385.0,256.0,460.0,331.0,212.0,154.0,47.0,355.0,367.0,39.0,125.0,18.0,3600.0,504.0,1344.0,37.5,44.495944380069524,24.948024948024948,65.71428571428571,1381.0,716.0,201.0
SBU,275.0,641.0,128.0,503.0,183.0,282.0,168.0,421.0,238.0,170.0,100.0,44.0,330.0,305.0,-77.0,85.0,17.0,3400.0,403.0,1144.0,35.22727272727273,42.90171606864275,25.447316103379723,64.8936170212766,1117.0,589.0,144.0
MU,297.0,664.0,93.0,340.0,275.0,423.0,148.0,398.0,239.0,219.0,114.0,47.0,308.0,362.0,-56.0,35.0,16.0,3200.0,390.0,1004.0,38.844621513944226,44.7289156626506,27.352941176470587,65.01182033096927,1148.0,546.0,161.0
AU,365.0,781.0,116.0,395.0,260.0,377.0,192.0,521.0,310.0,278.0,122.0,56.0,406.0,336.0,53.0,135.0,17.0,3400.0,481.0,1176.0,40.90136054421769,46.73495518565941,29.367088607594937,68.96551724137932,1338.0,713.0,178.0
LPU,382.0,735.0,124.0,451.0,239.0,384.0,211.0,488.0,328.0,235.0,113.0,55.0,381.0,334.0,-1.0,102.0,17.0,3400.0,506.0,1186.0,42.66441821247892,51.97278911564626,27.494456762749447,62.239583333333336,1375.0,699.0,168.0
UPHSD,286.0,665.0,159.0,560.0,203.0,327.0,215.0,448.0,289.0,243.0,169.0,39.0,358.0,313.0,42.0,144.0,18.0,3600.0,445.0,1225.0,36.326530612244895,43.00751879699248,28.392857142857142,62.079510703363916,1252.0,663.0,208.0
League,340.4,728.8,118.6,440.0,248.7,386.3,196.6,454.8,283.0,226.8,128.2,50.9,353.9,349.4,-0.019999999999998862,109.8,17.0,3400.0,459.0,1168.8,39.27104722792608,46.70691547749726,26.954545454545453,64.38001553196997,1285.3,651.4,179.1
