TEAM,MINS,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP,W,L,FG%,2P%,3P%,FT%,W%
CSB,205.0,30.8,68.6,23.9,43.1,6.9,25.5,13.2,22.0,81.7,14.0,30.9,44.9,17.8,16.9,7.5,3.7,11.2,18.7,19.3,11.1,110.0,10.0,8.0,2.0,44.8979591837,55.4524361949,27.0588235294,60.0,0.8
MU,202.5,26.9,69.0,18.6,39.3,8.3,29.7,14.2,22.6,76.3,13.2,27.2,40.4,15.2,12.8,7.5,2.5,10.0,23.8,20.1,2.52,84.0,10.0,7.0,3.0,38.9855072464,47.3282442748,27.9461279461,62.8318584071,0.7
SBU,204.54545454545453,24.90909090909091,64.72727272727273,16.545454545454547,37.72727272727273,8.363636363636363,27.0,12.454545454545455,21.454545454545453,70.63636363636364,11.454545454545455,30.181818181818183,41.63636363636363,13.272727272727273,11.727272727272727,4.545454545454546,2.5454545454545454,7.090909090909091,18.0,19.545454545454547,4.090909090909091,94.0,11.0,7.0,4.0,38.4831460674,43.8554216867,30.9764309764,58.0508474576,0.6363636363636364
CSJL,206.8181818181818,25.818181818181817,64.36363636363636,18.818181818181817,37.36363636363637,7.0,27.0,14.181818181818182,18.818181818181817,72.81818181818181,9.363636363636363,28.545454545454547,37.90909090909091,15.818181818181818,15.181818181818182,5.818181818181818,4.7272727272727275,10.545454545454545,20.09090909090909,18.363636363636363,-1.5454545454545454,77.0,11.0,6.0,5.0,40.1129943503,50.3649635036,25.9259259259,75.3623188406,0.5454545454545454
LPU,202.27272727272728,28.09090909090909,70.81818181818181,20.0,40.90909090909091,8.090909090909092,29.90909090909091,16.636363636363637,23.363636363636363,80.9090909090909,10.272727272727273,25.636363636363637,35.90909090909091,17.09090909090909,10.727272727272727,7.7272727272727275,1.6363636363636365,9.363636363636363,19.727272727272727,20.818181818181817,-0.5454545454545454,77.0,11.0,6.0,5.0,39.6662387677,48.8888888889,27.0516717325,71.2062256809,0.5454545454545454
EAC,202.5,25.9,72.3,17.6,44.0,8.3,28.3,14.3,24.8,74.4,12.6,26.9,39.5,17.7,13.8,7.7,3.8,11.5,22.3,21.6,-0.44000000000000006,71.0,10.0,5.0,5.0,35.8229598893,40.0,29.3286219081,57.6612903226,0.5
League,203.84615384615384,26.836538461538463,69.42307692307692,19.78846153846154,43.00961538461539,7.0480769230769225,26.413461538461537,14.798076923076923,22.826923076923077,75.51923076923076,12.067307692307692,26.980769230769234,39.04807692307693,15.85576923076923,13.25,7.596153846153846,3.1057692307692304,10.701923076923077,20.682692307692307,20.375,-0.001923076923076923,67.9,10.4,5.2,5.2,38.6565096953,46.0093896714,26.6836548963,64.8272957035,0.5
UPHSD,206.8181818181818,24.363636363636363,67.54545454545455,18.09090909090909,43.0,6.2727272727272725,24.545454545454547,12.090909090909092,19.181818181818183,67.0909090909091,11.727272727272727,29.363636363636363,41.09090909090909,17.272727272727273,14.0,7.545454545454546,3.8181818181818183,11.363636363636363,18.272727272727273,17.90909090909091,-1.0,58.0,11.0,5.0,6.0,36.069986541,42.0718816068,25.5555555556,63.0331753555,0.45454545454545453
AU,205.0,28.8,71.3,24.4,52.4,4.4,18.9,14.9,26.1,76.9,11.4,25.6,37.0,14.2,12.6,9.9,2.6,12.5,20.4,23.4,-2.5,38.0,10.0,3.0,7.0,40.3927068724,46.5648854962,23.2804232804,57.0881226054,0.3
JRU,200.0,25.6,69.2,20.1,48.4,5.5,20.8,19.1,27.6,75.8,13.3,22.4,35.7,16.6,13.9,8.3,4.2,12.5,20.3,23.1,-4.1,44.0,10.0,3.0,7.0,36.9942196532,41.5289256198,26.442307692299998,69.2028985507,0.3
SSCR,202.5,27.6,77.4,20.4,45.2,7.2,32.2,17.3,23.2,79.7,13.9,22.5,36.4,13.6,11.0,9.9,1.5,11.4,25.9,20.1,-7.7,26.0,10.0,2.0,8.0,35.6589147287,45.1327433628,22.3602484472,74.5689655172,0.2
