,2PM,2PA,3PM,3PA,FTM,FTA,OFF,DEF,AST,TO,STL,BLK,PF,Fls on:,+/-,GW,GP,MINS,FGM,FGA,FG%,2P%,3P%,FT%,PTS,REB,STK
MU,71.0,178.0,22.0,85.0,63.0,96.0,39.0,117.0,59.0,59.0,30.0,13.0,71.0,89.0,-11.0,13.0,4.0,800.0,93.0,263.0,35.361216730038024,39.8876404494382,25.88235294117647,65.625,271.0,156.0,43.0
EAC,92.0,225.0,31.0,130.0,77.0,138.0,81.0,164.0,77.0,70.0,36.0,15.0,116.0,114.0,11.0,40.0,5.0,1000.0,123.0,355.0,34.647887323943664,40.888888888888886,23.846153846153847,55.79710144927536,354.0,245.0,51.0
SBU,58.0,143.0,37.0,153.0,49.0,79.0,55.0,106.0,55.0,38.0,29.0,8.0,101.0,77.0,-8.0,25.0,4.0,800.0,95.0,296.0,32.0945945945946,40.55944055944056,24.18300653594771,62.0253164556962,276.0,161.0,37.0
CSJL,83.0,185.0,27.0,107.0,62.0,93.0,53.0,83.0,58.0,41.0,36.0,15.0,90.0,88.0,7.0,25.0,4.0,800.0,110.0,292.0,37.67123287671233,44.86486486486486,25.233644859813083,66.66666666666667,309.0,136.0,51.0
UPHSD,92.0,202.0,35.0,132.0,60.0,108.0,63.0,134.0,70.0,66.0,46.0,13.0,102.0,95.0,9.0,26.0,5.0,1000.0,127.0,334.0,38.02395209580838,45.54455445544554,26.515151515151516,55.55555555555556,349.0,197.0,59.0
AU,86.0,184.0,34.0,110.0,58.0,83.0,42.0,138.0,76.0,63.0,25.0,24.0,86.0,70.0,20.0,52.0,4.0,800.0,120.0,294.0,40.816326530612244,46.73913043478261,30.90909090909091,69.87951807228916,332.0,180.0,49.0
JRU,92.0,177.0,25.0,86.0,64.0,93.0,44.0,94.0,59.0,52.0,37.0,16.0,102.0,82.0,13.0,41.0,4.0,800.0,117.0,263.0,44.48669201520912,51.9774011299435,29.069767441860463,68.81720430107526,323.0,138.0,53.0
CSB,72.0,180.0,17.0,105.0,41.0,81.0,52.0,91.0,43.0,51.0,30.0,15.0,78.0,80.0,-67.0,0.0,4.0,800.0,89.0,285.0,31.228070175438596,40.0,16.19047619047619,50.617283950617285,236.0,143.0,45.0
LPU,100.0,194.0,29.0,101.0,65.0,103.0,58.0,122.0,74.0,52.0,29.0,14.0,87.0,94.0,9.0,28.0,4.0,800.0,129.0,295.0,43.728813559322035,51.54639175257732,28.712871287128714,63.10679611650485,352.0,180.0,43.0
SSCR,86.0,163.0,30.0,103.0,90.0,135.0,47.0,116.0,77.0,67.0,21.0,14.0,90.0,117.0,17.0,27.0,4.0,800.0,116.0,266.0,43.609022556390975,52.760736196319016,29.12621359223301,66.66666666666667,352.0,163.0,35.0
League,83.2,183.1,28.7,111.2,62.9,100.9,53.4,116.5,64.8,55.9,31.9,14.7,92.3,90.6,0.0,27.7,4.2,840.0,111.9,294.3,38.02242609582059,45.4396504642272,25.809352517985612,62.338949454905844,315.4,169.9,46.599999999999994
