TEAM,MINS,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP,W,L,FG%,2P%,3P%,FT%
AU,850.0,127.0,309.0,109.0,235.0,18.0,74.0,40.0,87.0,312.0,46.0,119.0,165.0,56.0,49.0,42.0,9.0,51.0,74.0,83.0,-20.0,0.0,4.0,0.0,4.0,41.10032362459547,46.38297872340426,24.324324324324323,45.97701149425287
CSB,825.0,118.0,289.0,93.0,183.0,25.0,106.0,42.0,68.0,303.0,63.0,132.0,195.0,56.0,55.0,31.0,17.0,48.0,80.0,76.0,67.0,55.0,4.0,4.0,0.0,40.83044982698962,50.81967213114754,23.58490566037736,61.76470588235294
CSJL,800.0,102.0,243.0,79.0,153.0,23.0,90.0,75.0,102.0,302.0,41.0,109.0,150.0,56.0,64.0,26.0,20.0,46.0,92.0,86.0,-7.0,27.0,4.0,2.0,2.0,41.97530864197531,51.63398692810458,25.555555555555557,73.52941176470588
EAC,1025.0,113.0,357.0,74.0,208.0,39.0,149.0,78.0,139.0,343.0,56.0,139.0,195.0,87.0,61.0,37.0,23.0,60.0,116.0,114.0,-11.0,27.0,5.0,2.0,3.0,31.65266106442577,35.57692307692308,26.174496644295303,56.115107913669064
JRU,800.0,104.0,268.0,79.0,180.0,25.0,88.0,77.0,115.0,310.0,53.0,94.0,147.0,69.0,58.0,29.0,21.0,50.0,84.0,101.0,-13.0,15.0,4.0,1.0,3.0,38.80597014925373,43.888888888888886,28.40909090909091,66.95652173913044
LPU,825.0,121.0,286.0,86.0,171.0,35.0,115.0,66.0,99.0,343.0,37.0,114.0,151.0,76.0,55.0,26.0,9.0,35.0,95.0,86.0,-9.0,27.0,4.0,2.0,2.0,42.30769230769231,50.292397660818715,30.434782608695652,66.66666666666667
MU,800.0,99.0,269.0,63.0,146.0,36.0,123.0,48.0,78.0,282.0,48.0,110.0,158.0,61.0,50.0,35.0,10.0,45.0,92.0,69.0,11.0,35.0,4.0,3.0,1.0,36.80297397769517,43.15068493150685,29.26829268292683,61.53846153846154
SBU,825.0,94.0,255.0,62.0,148.0,32.0,107.0,64.0,114.0,284.0,59.0,123.0,182.0,51.0,57.0,18.0,12.0,30.0,77.0,101.0,8.0,27.0,4.0,2.0,2.0,36.86274509803921,41.891891891891895,29.906542056074766,56.14035087719298
SSCR,800.0,119.0,324.0,94.0,187.0,25.0,137.0,72.0,95.0,335.0,64.0,94.0,158.0,58.0,42.0,38.0,6.0,44.0,117.0,89.0,-17.0,26.0,4.0,2.0,2.0,36.72839506172839,50.26737967914438,18.248175182481752,75.78947368421052
UPHSD,1000.0,122.0,343.0,93.0,220.0,29.0,123.0,67.0,112.0,340.0,67.0,131.0,198.0,78.0,68.0,37.0,20.0,57.0,96.0,101.0,-9.0,38.0,5.0,3.0,2.0,35.56851311953353,42.27272727272727,23.577235772357724,59.82142857142857
League,855.0,111.9,294.3,83.2,183.1,28.7,111.2,62.9,100.9,315.4,53.4,116.5,169.9,64.8,55.9,31.9,14.7,46.6,92.3,90.6,0.0,27.7,4.2,2.1,2.1,38.02242609582059,45.4396504642272,25.809352517985612,62.338949454905844
