,2PM,2PA,3PM,3PA,FTM,FTA,OFF,DEF,AST,TO,STL,BLK,PF,Fls on:,+/-,GW,GP,MINS,FGM,FGA,FG%,2P%,3P%,FT%,PTS,REB,STK
CSB,180.0,397.0,54.0,251.0,99.0,171.0,105.0,183.0,111.0,114.0,91.0,28.0,171.0,164.0,-105.0,25.0,9.0,1800.0,234.0,648.0,36.111111111111114,45.340050377833755,21.51394422310757,57.89473684210526,621.0,288.0,119.0
SBU,143.0,347.0,73.0,279.0,98.0,147.0,94.0,239.0,133.0,85.0,52.0,26.0,183.0,157.0,-33.0,38.0,9.0,1800.0,216.0,626.0,34.50479233226837,41.210374639769455,26.164874551971327,66.66666666666667,603.0,333.0,78.0
SSCR,211.0,396.0,61.0,203.0,178.0,273.0,98.0,288.0,193.0,159.0,61.0,31.0,180.0,227.0,70.6,92.0,9.0,1800.0,272.0,599.0,45.40901502504174,53.282828282828284,30.049261083743843,65.2014652014652,783.0,386.0,92.0
CSJL,208.0,478.0,66.0,284.0,133.0,202.0,144.0,250.0,159.0,100.0,86.0,28.0,186.0,198.0,7.0,51.0,10.0,2000.0,274.0,762.0,35.958005249343834,43.51464435146443,23.239436619718308,65.84158415841584,747.0,394.0,114.0
MU,160.0,377.0,60.0,203.0,167.0,251.0,85.0,238.0,135.0,116.0,66.0,24.0,177.0,209.0,-21.0,35.0,9.0,1800.0,220.0,580.0,37.93103448275862,42.44031830238727,29.55665024630542,66.53386454183267,667.0,323.0,90.0
EAC,170.0,409.0,63.0,238.0,149.0,234.0,133.0,275.0,149.0,129.0,71.0,27.0,194.0,200.0,12.0,68.0,9.0,1800.0,233.0,647.0,36.01236476043277,41.56479217603912,26.470588235294116,63.675213675213676,678.0,408.0,98.0
AU,176.0,400.0,69.0,233.0,156.0,227.0,105.0,272.0,157.0,146.0,74.0,34.0,218.0,184.0,11.0,77.0,9.0,1800.0,245.0,633.0,38.70458135860979,44.0,29.613733905579398,68.72246696035242,715.0,377.0,108.0
LPU,228.0,419.0,79.0,262.0,141.0,221.0,122.0,299.0,182.0,146.0,65.0,35.0,212.0,198.0,8.0,68.0,10.0,2000.0,307.0,681.0,45.08076358296623,54.41527446300716,30.15267175572519,63.800904977375566,834.0,421.0,100.0
UPHSD,152.0,350.0,69.0,283.0,99.0,163.0,116.0,242.0,126.0,114.0,78.0,23.0,162.0,155.0,13.0,64.0,9.0,1800.0,221.0,633.0,34.913112164297,43.42857142857143,24.381625441696112,60.736196319018404,610.0,358.0,101.0
JRU,216.0,409.0,55.0,204.0,127.0,184.0,104.0,223.0,120.0,131.0,76.0,32.0,211.0,174.0,37.0,81.0,9.0,1800.0,271.0,613.0,44.208809135399676,52.81173594132029,26.96078431372549,69.02173913043478,724.0,327.0,108.0
League,184.4,398.2,64.9,244.0,134.7,207.3,110.6,250.9,146.5,124.0,72.0,28.8,189.4,186.6,-0.04000000000000057,59.9,9.2,1840.0,249.3,642.2,38.819682341949544,46.308387744851835,26.598360655737707,64.97829232995657,698.2,361.5,100.8
