,2PM,2PA,3PM,3PA,FTM,FTA,OFF,DEF,AST,TO,STL,BLK,PF,Fls on:,+/-,GW,GP,MINS,FGM,FGA,FG%,2P%,3P%,FT%,PTS,REB,STK
EAC,268.0,636.0,119.0,420.0,247.0,383.0,206.0,455.0,257.0,210.0,107.0,49.0,325.0,328.0,24.0,110.0,15.0,3000.0,387.0,1056.0,36.64772727272727,42.138364779874216,28.333333333333332,64.49086161879896,1140.0,661.0,156.0
MU,277.0,628.0,86.0,313.0,263.0,403.0,135.0,371.0,223.0,206.0,111.0,42.0,291.0,342.0,-54.0,35.0,15.0,3000.0,363.0,941.0,38.5759829968119,44.10828025477707,27.476038338658146,65.26054590570719,1075.0,506.0,153.0
JRU,381.0,719.0,96.0,349.0,248.0,379.0,167.0,396.0,223.0,218.0,132.0,57.0,367.0,348.0,73.2,155.0,16.0,3200.0,477.0,1068.0,44.662921348314605,52.990264255910986,27.507163323782233,65.4353562005277,1298.0,563.0,189.0
CSB,301.0,679.0,91.0,403.0,172.0,289.0,173.0,327.0,201.0,168.0,136.0,46.0,298.0,282.0,-163.0,25.0,15.0,3000.0,392.0,1082.0,36.22920517560074,44.329896907216494,22.580645161290324,59.515570934256054,1047.0,500.0,182.0
UPHSD,271.0,636.0,149.0,533.0,181.0,298.0,206.0,431.0,266.0,226.0,160.0,38.0,325.0,288.0,46.0,144.0,17.0,3400.0,420.0,1169.0,35.92814371257485,42.61006289308176,27.954971857410882,60.738255033557046,1170.0,637.0,198.0
SSCR,369.0,692.0,115.0,376.0,318.0,496.0,174.0,498.0,343.0,271.0,104.0,55.0,306.0,406.0,68.6,145.0,16.0,3200.0,484.0,1068.0,45.3183520599251,53.323699421965316,30.585106382978722,64.11290322580645,1401.0,672.0,159.0
LPU,360.0,686.0,122.0,420.0,224.0,360.0,197.0,458.0,310.0,229.0,106.0,51.0,359.0,315.0,8.0,102.0,16.0,3200.0,482.0,1106.0,43.58047016274865,52.478134110787174,29.047619047619047,62.22222222222222,1310.0,655.0,157.0
AU,320.0,685.0,107.0,353.0,243.0,349.0,170.0,453.0,276.0,245.0,110.0,49.0,357.0,299.0,45.0,122.0,15.0,3000.0,427.0,1038.0,41.13680154142582,46.715328467153284,30.311614730878187,69.62750716332378,1204.0,623.0,159.0
SBU,242.0,569.0,107.0,448.0,167.0,255.0,158.0,365.0,206.0,152.0,89.0,41.0,288.0,271.0,-89.0,62.0,15.0,3000.0,349.0,1017.0,34.31661750245821,42.53075571177504,23.883928571428573,65.49019607843137,972.0,523.0,130.0
CSJL,345.0,764.0,113.0,442.0,214.0,326.0,222.0,412.0,293.0,179.0,136.0,45.0,324.0,319.0,41.0,112.0,16.0,3200.0,458.0,1206.0,37.97678275290215,45.15706806282723,25.56561085972851,65.6441717791411,1243.0,634.0,181.0
League,313.4,669.4,110.5,405.7,227.7,353.8,180.8,416.6,259.8,210.4,119.1,47.3,324.0,319.8,-0.020000000000000285,101.2,15.6,3120.0,423.9,1075.1,39.42889033578272,46.818046011353445,27.23687453783584,64.3583945732052,1186.0,597.4000000000001,166.39999999999998
