TEAM,MINS,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP,W,L,FG%,2P%,3P%,FT%
AU,2650.0,379.0,941.0,320.0,687.0,59.0,254.0,186.0,329.0,1003.0,158.0,329.0,487.0,198.0,164.0,131.0,38.0,169.0,275.0,298.0,-36.0,63.0,13.0,5.0,8.0,40.276301806588734,46.57933042212518,23.228346456692915,56.53495440729483
CSB,2450.0,380.0,829.0,296.0,534.0,84.0,295.0,153.0,259.0,997.0,165.0,374.0,539.0,217.0,192.0,86.0,49.0,135.0,231.0,230.0,149.0,140.0,12.0,10.0,2.0,45.83835946924005,55.43071161048689,28.47457627118644,59.07335907335907
CSJL,2925.0,372.0,909.0,273.0,548.0,99.0,361.0,223.0,304.0,1066.0,126.0,399.0,525.0,222.0,221.0,83.0,61.0,144.0,289.0,286.0,-26.0,90.0,14.0,7.0,7.0,40.92409240924093,49.81751824817518,27.42382271468144,73.35526315789474
EAC,2425.0,320.0,865.0,218.0,532.0,102.0,333.0,182.0,310.0,924.0,145.0,320.0,465.0,217.0,158.0,94.0,46.0,140.0,265.0,266.0,-0.4,85.0,12.0,6.0,6.0,36.994219653179194,40.97744360902256,30.63063063063063,58.70967741935484
JRU,2600.0,344.0,900.0,276.0,630.0,68.0,270.0,242.0,354.0,998.0,162.0,301.0,463.0,229.0,180.0,102.0,50.0,152.0,270.0,301.0,-54.0,58.0,13.0,4.0,9.0,38.22222222222222,43.80952380952381,25.185185185185187,68.36158192090396
LPU,2650.0,368.0,926.0,260.0,532.0,108.0,394.0,215.0,305.0,1059.0,130.0,329.0,459.0,229.0,146.0,103.0,22.0,125.0,269.0,275.0,-17.0,77.0,13.0,6.0,7.0,39.740820734341256,48.87218045112782,27.411167512690355,70.49180327868852
MU,2625.0,349.0,891.0,239.0,509.0,110.0,382.0,181.0,289.0,989.0,176.0,346.0,522.0,207.0,179.0,99.0,31.0,130.0,308.0,262.0,39.2,120.0,13.0,10.0,3.0,39.16947250280584,46.95481335952849,28.79581151832461,62.62975778546713
SBU,2650.0,310.0,813.0,199.0,460.0,111.0,353.0,158.0,270.0,889.0,138.0,380.0,518.0,173.0,153.0,66.0,34.0,100.0,231.0,245.0,46.0,106.0,13.0,8.0,5.0,38.13038130381304,43.26086956521739,31.444759206798867,58.51851851851852
SSCR,2675.0,380.0,1028.0,280.0,619.0,100.0,409.0,216.0,298.0,1076.0,176.0,301.0,477.0,189.0,142.0,128.0,21.0,149.0,336.0,265.0,-85.0,37.0,13.0,3.0,10.0,36.96498054474708,45.23424878836833,24.449877750611247,72.48322147651007
UPHSD,2900.0,339.0,933.0,252.0,595.0,87.0,338.0,174.0,275.0,939.0,168.0,407.0,575.0,247.0,204.0,101.0,52.0,153.0,254.0,262.0,-16.0,67.0,14.0,6.0,8.0,36.334405144694536,42.35294117647059,25.7396449704142,63.27272727272727
League,2655.0,354.1,903.5,261.3,564.6,92.8,338.9,193.0,299.3,994.0,154.4,348.6,503.0,212.8,173.9,99.3,40.4,139.7,272.8,269.0,-0.02,84.3,13.0,6.5,6.5,39.192030990592144,46.280552603613174,27.382708763647095,64.48379552288674
