,2PM,2PA,3PM,3PA,FTM,FTA,OFF,DEF,AST,TO,STL,BLK,PF,Fls on:,+/-,GW,GP,MINS,FGM,FGA,FG%,2P%,3P%,FT%,PTS,REB,STK
CSB,249.0,552.0,68.0,318.0,146.0,244.0,145.0,246.0,151.0,137.0,113.0,39.0,235.0,231.0,-149.0,25.0,12.0,2400.0,317.0,870.0,36.4367816091954,45.108695652173914,21.38364779874214,59.83606557377049,848.0,391.0,152.0
AU,271.0,594.0,92.0,310.0,221.0,320.0,151.0,389.0,237.0,207.0,98.0,47.0,305.0,269.0,36.0,107.0,13.0,2600.0,363.0,904.0,40.15486725663717,45.622895622895626,29.677419354838708,69.0625,1039.0,540.0,145.0
CSJL,301.0,673.0,100.0,390.0,190.0,290.0,194.0,352.0,243.0,154.0,124.0,36.0,291.0,283.0,26.0,87.0,14.0,2800.0,401.0,1063.0,37.723424270931325,44.725111441307575,25.641025641025642,65.51724137931035,1092.0,546.0,160.0
SSCR,305.0,572.0,98.0,305.0,257.0,395.0,141.0,418.0,284.0,224.0,76.0,49.0,267.0,329.0,84.6,133.0,13.0,2600.0,403.0,877.0,45.9521094640821,53.32167832167832,32.131147540983605,65.0632911392405,1161.0,559.0,125.0
LPU,299.0,563.0,98.0,334.0,184.0,301.0,166.0,388.0,250.0,191.0,85.0,44.0,278.0,265.0,17.0,90.0,13.0,2600.0,397.0,897.0,44.25863991081383,53.10834813499112,29.34131736526946,61.12956810631229,1076.0,554.0,129.0
JRU,310.0,596.0,81.0,291.0,189.0,290.0,141.0,328.0,178.0,181.0,106.0,45.0,305.0,268.0,54.2,120.0,13.0,2600.0,391.0,887.0,44.081172491544535,52.013422818791945,27.835051546391753,65.17241379310344,1052.0,469.0,151.0
SBU,202.0,495.0,99.0,399.0,142.0,213.0,143.0,327.0,181.0,127.0,80.0,34.0,247.0,231.0,-46.0,62.0,13.0,2600.0,301.0,894.0,33.66890380313199,40.80808080808081,24.81203007518797,66.66666666666667,843.0,470.0,114.0
UPHSD,218.0,526.0,120.0,442.0,159.0,261.0,177.0,358.0,210.0,182.0,125.0,35.0,266.0,251.0,16.0,103.0,14.0,2800.0,338.0,968.0,34.917355371900825,41.444866920152094,27.149321266968325,60.91954022988506,955.0,535.0,160.0
MU,234.0,540.0,81.0,282.0,239.0,365.0,115.0,320.0,191.0,164.0,99.0,35.0,266.0,302.0,-39.0,35.0,13.0,2600.0,315.0,822.0,38.32116788321168,43.333333333333336,28.72340425531915,65.47945205479452,950.0,435.0,134.0
EAC,224.0,535.0,91.0,318.0,203.0,314.0,171.0,360.0,203.0,172.0,87.0,40.0,268.0,261.0,0.0,81.0,12.0,2400.0,315.0,853.0,36.928487690504106,41.86915887850467,28.61635220125786,64.64968152866243,924.0,531.0,127.0
League,261.3,564.6,92.8,338.9,193.0,299.3,154.4,348.6,212.8,173.9,99.3,40.4,272.8,269.0,-0.020000000000000285,84.3,13.0,2600.0,354.1,903.5,39.192030990592144,46.280552603613174,27.382708763647095,64.48379552288674,994.0,503.0,139.7
