,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
A. Acop,AU,43.0666666666,3.0,13.0,23.076923076923077,3.0,10.0,30.0,0.0,3.0,0.0,3.0,4.0,75.0,9.0,5.0,4.0,9.0,7.0,1.0,3.0,0.0,3.0,4.0,4.0,10.0,1.0,8.0
E. Geronimo,AU,264.0,36.0,65.0,55.38461538461539,32.0,53.0,60.37735849056604,4.0,12.0,33.333333333333336,9.0,20.0,45.0,85.0,10.0,16.0,26.0,23.0,21.0,5.0,3.0,8.0,13.0,15.0,-9.0,5.0,14.0
D. Miller,AU,16.3333333333,1.0,4.0,25.0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,2.0,50.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0
J. Camay,AU,179.68333333330003,23.0,47.0,48.93617021276596,20.0,33.0,60.60606060606061,3.0,14.0,21.428571428571427,11.0,16.0,68.75,60.0,6.0,13.0,19.0,16.0,15.0,6.0,0.0,6.0,23.0,19.0,14.0,4.0,12.0
C. Libang,AU,13.1333333333,3.0,6.0,50.0,3.0,6.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,2.0,0.0,2.0,1.0,0.0,3.0,0.0,3.0,2.0,1.0,-6.0,1.0,2.0
J. Capulong,AU,48.3,8.0,21.0,38.095238095238095,7.0,15.0,46.666666666666664,1.0,6.0,16.666666666666668,1.0,4.0,25.0,18.0,1.0,12.0,13.0,1.0,6.0,6.0,1.0,7.0,6.0,3.0,-15.0,1.0,2.0
C. Hernal,AU,183.9000000001,20.0,50.0,40.0,20.0,46.0,43.47826086956522,0.0,4.0,0.0,21.0,36.0,58.333333333333336,61.0,24.0,32.0,56.0,15.0,9.0,12.0,9.0,21.0,28.0,26.0,-3.0,4.0,11.0
J. Dela Cruz,AU,11.6666666667,1.0,4.0,25.0,1.0,4.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,-14.0,2.0,5.0
J. Espiritu,AU,16.366666666500002,1.0,5.0,20.0,0.0,3.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,4.0,0.0,-26.0,0.0,7.0
J. Hernal,AU,31.0,3.0,9.0,33.333333333333336,3.0,7.0,42.857142857142854,0.0,2.0,0.0,4.0,10.0,40.0,10.0,7.0,2.0,9.0,2.0,2.0,2.0,1.0,3.0,3.0,8.0,8.0,1.0,2.0
J. Libang,AU,76.7333333335,11.0,25.0,44.0,11.0,23.0,47.82608695652174,0.0,2.0,0.0,1.0,6.0,16.666666666666668,23.0,7.0,10.0,17.0,3.0,5.0,4.0,0.0,4.0,12.0,9.0,-15.0,4.0,11.0
J. Ongotan,AU,289.0499999999,53.0,140.0,37.857142857142854,48.0,104.0,46.15384615384615,5.0,36.0,13.88888888888889,31.0,41.0,75.60975609756098,142.0,29.0,35.0,64.0,26.0,18.0,22.0,5.0,27.0,28.0,37.0,-5.0,4.0,12.0
B. Rosalin,AU,5.2333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-12.0,2.0,3.0
K. Flores,AU,37.050000000000004,6.0,18.0,33.333333333333336,5.0,12.0,41.666666666666664,1.0,6.0,16.666666666666668,0.0,1.0,0.0,13.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,6.0,1.0,-18.0,2.0,5.0
B. Valencia,AU,55.05,4.0,13.0,30.76923076923077,2.0,7.0,28.571428571428573,2.0,6.0,33.333333333333336,3.0,7.0,42.857142857142854,13.0,4.0,6.0,10.0,10.0,3.0,4.0,0.0,4.0,2.0,6.0,1.0,1.0,2.0
