TEAM,MINS,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP,W,L,FG%,2P%,3P%,FT%,W%
CSB,212.5,29.0,69.5,24.0,45.0,5.0,24.5,11.0,19.0,74.0,14.0,32.0,46.0,15.5,14.0,7.0,4.5,11.5,18.0,21.5,9.0,25.0,2.0,2.0,0.0,41.726618705,53.3333333333,20.4081632653,57.8947368421,1.0
UPHSD,200.0,26.5,66.5,19.0,42.0,7.5,24.5,15.0,23.0,75.5,16.5,25.0,41.5,17.0,16.0,7.5,3.5,11.0,22.0,17.5,9.0,25.0,2.0,2.0,0.0,39.8496240602,45.2380952381,30.612244898,65.2173913043,1.0
SBU,208.33333333333334,26.0,65.0,17.0,38.0,9.0,27.0,15.333333333333334,27.666666666666668,76.33333333333333,14.0,32.333333333333336,46.333333333333336,13.666666666666666,13.666666666666666,4.666666666666667,3.6666666666666665,8.333333333333334,20.666666666666668,25.0,7.0,27.0,3.0,2.0,1.0,40.0,44.7368421053,33.3333333333,55.421686747,0.6666666666666666
SSCR,200.0,31.0,83.66666666666667,24.0,45.333333333333336,7.0,38.333333333333336,18.0,24.666666666666668,87.0,17.0,23.0,40.0,16.0,8.666666666666666,9.0,1.3333333333333333,10.333333333333334,28.333333333333332,23.666666666666668,-0.3333333333333333,26.0,3.0,2.0,1.0,37.0517928287,52.9411764706,18.2608695652,72.972972973,0.6666666666666666
CSJL,200.0,26.5,56.0,21.5,35.5,5.0,20.5,19.0,25.5,77.0,8.5,25.5,34.0,15.0,16.5,6.0,5.0,11.0,23.5,24.0,0.5,13.0,2.0,1.0,1.0,47.3214285714,60.5633802817,24.3902439024,74.5098039216,0.5
EAC,212.5,24.5,74.0,16.5,48.5,8.0,25.5,19.5,31.0,76.5,8.0,34.0,42.0,20.0,11.0,5.5,6.5,12.0,22.5,27.0,2.0,14.0,2.0,1.0,1.0,33.1081081081,34.0206185567,31.3725490196,62.903225806500004,0.5
MU,200.0,23.5,70.0,16.0,38.5,7.5,31.5,12.5,20.5,67.0,14.0,28.5,42.5,16.0,14.0,9.5,2.0,11.5,24.5,16.5,-5.0,12.0,2.0,1.0,1.0,33.5714285714,41.5584415584,23.8095238095,60.9756097561,0.5
League,204.54545454545453,26.409090909090907,69.81818181818181,19.68181818181818,43.04545454545455,6.727272727272727,26.77272727272727,15.954545454545453,25.045454545454543,75.49999999999999,13.045454545454543,28.0,41.04545454545454,15.68181818181818,12.909090909090908,7.0,3.0909090909090904,10.09090909090909,22.954545454545453,22.77272727272727,0.0,14.2,2.2,1.1,1.1,37.8255208333,45.7233368532,25.1273344652,63.7023593466,0.5
AU,212.5,30.5,76.5,27.5,59.5,3.0,17.0,9.5,21.5,73.5,12.0,34.5,46.5,13.0,12.5,10.5,0.5,11.0,20.5,22.0,-4.5,0.0,2.0,0.0,2.0,39.8692810458,46.218487395,17.6470588235,44.1860465116,0.0
JRU,200.0,19.5,62.0,13.5,40.5,6.0,21.5,19.0,28.0,64.0,13.0,19.0,32.0,14.0,12.5,6.0,4.0,10.0,21.5,24.0,-12.0,0.0,2.0,0.0,2.0,31.4516129032,33.3333333333,27.9069767442,67.8571428571,0.0
LPU,200.0,25.0,70.5,17.0,39.0,8.0,31.5,20.0,28.5,78.0,11.0,26.5,37.5,17.5,12.0,4.5,0.5,5.0,26.5,25.0,-9.0,0.0,2.0,0.0,2.0,35.4609929078,43.5897435897,25.3968253968,70.1754385965,0.0
