,2PM,2PA,3PM,3PA,FTM,FTA,OFF,DEF,AST,TO,STL,BLK,PF,Fls on:,+/-,GW,GP,MINS,FGM,FGA,FG%,2P%,3P%,FT%,PTS,REB,STK
SBU,128.0,309.0,62.0,248.0,92.0,138.0,84.0,209.0,119.0,69.0,47.0,23.0,170.0,141.0,-26.0,38.0,8.0,1600.0,190.0,557.0,34.1113105924596,41.42394822006472,25.0,66.66666666666667,534.0,293.0,70.0
UPHSD,152.0,350.0,69.0,283.0,99.0,163.0,116.0,242.0,126.0,114.0,78.0,23.0,162.0,155.0,13.0,64.0,9.0,1800.0,221.0,633.0,34.913112164297,43.42857142857143,24.381625441696112,60.736196319018404,610.0,358.0,101.0
SSCR,184.0,345.0,52.0,181.0,162.0,248.0,87.0,254.0,163.0,140.0,53.0,27.0,162.0,207.0,60.0,77.0,8.0,1600.0,236.0,526.0,44.866920152091254,53.333333333333336,28.7292817679558,65.3225806451613,686.0,341.0,80.0
MU,140.0,339.0,51.0,170.0,158.0,235.0,78.0,210.0,121.0,109.0,59.0,24.0,161.0,196.0,-28.0,23.0,8.0,1600.0,191.0,509.0,37.524557956778,41.29793510324484,30.0,67.23404255319149,591.0,288.0,83.0
CSJL,165.0,385.0,52.0,225.0,104.0,165.0,115.0,196.0,121.0,82.0,64.0,24.0,151.0,163.0,-4.0,37.0,8.0,1600.0,217.0,610.0,35.57377049180328,42.857142857142854,23.11111111111111,63.03030303030303,590.0,311.0,88.0
EAC,154.0,361.0,50.0,205.0,134.0,214.0,118.0,252.0,131.0,117.0,61.0,26.0,174.0,183.0,23.0,68.0,8.0,1600.0,204.0,566.0,36.042402826855124,42.659279778393355,24.390243902439025,62.61682242990654,592.0,370.0,87.0
CSB,159.0,353.0,47.0,227.0,93.0,162.0,96.0,164.0,94.0,98.0,79.0,24.0,155.0,152.0,-90.0,25.0,8.0,1600.0,206.0,580.0,35.51724137931034,45.04249291784703,20.704845814977972,57.407407407407405,552.0,260.0,103.0
LPU,189.0,351.0,64.0,210.0,118.0,186.0,107.0,242.0,146.0,112.0,52.0,26.0,177.0,163.0,19.0,57.0,8.0,1600.0,253.0,561.0,45.09803921568628,53.84615384615385,30.476190476190474,63.44086021505376,688.0,349.0,78.0
AU,176.0,400.0,69.0,233.0,156.0,227.0,105.0,272.0,157.0,146.0,74.0,34.0,218.0,184.0,11.0,77.0,9.0,1800.0,245.0,633.0,38.70458135860979,44.0,29.613733905579398,68.72246696035242,715.0,377.0,108.0
JRU,188.0,368.0,50.0,177.0,114.0,164.0,90.0,196.0,105.0,116.0,67.0,29.0,199.0,158.0,22.0,69.0,8.0,1600.0,238.0,545.0,43.669724770642205,51.08695652173913,28.24858757062147,69.51219512195122,640.0,286.0,96.0
League,163.5,356.1,56.6,215.9,123.0,190.2,99.6,223.7,128.3,110.3,63.4,26.0,172.9,170.2,0.0,53.5,8.2,1640.0,220.1,572.0,38.47902097902098,45.914069081718615,26.215840666975453,64.66876971608833,619.8,323.29999999999995,89.4
