,2PM,2PA,3PM,3PA,FTM,FTA,OFF,DEF,AST,TO,STL,BLK,PF,Fls on:,+/-,GW,GP,MINS,FGM,FGA,FG%,2P%,3P%,FT%,PTS,REB,STK
LPU,315.0,599.0,107.0,368.0,194.0,319.0,176.0,413.0,269.0,202.0,93.0,48.0,302.0,278.0,18.0,102.0,14.0,2800.0,422.0,967.0,43.640124095139605,52.587646076794655,29.07608695652174,60.81504702194357,1145.0,589.0,141.0
UPHSD,218.0,526.0,120.0,442.0,159.0,261.0,177.0,358.0,210.0,182.0,125.0,35.0,266.0,251.0,16.0,103.0,14.0,2800.0,338.0,968.0,34.917355371900825,41.444866920152094,27.149321266968325,60.91954022988506,955.0,535.0,160.0
SSCR,325.0,615.0,105.0,334.0,271.0,425.0,154.0,441.0,303.0,235.0,88.0,49.0,278.0,350.0,71.6,133.0,14.0,2800.0,430.0,949.0,45.310853530031615,52.84552845528455,31.437125748502993,63.76470588235294,1236.0,595.0,137.0
MU,255.0,581.0,84.0,300.0,256.0,388.0,120.0,349.0,206.0,181.0,103.0,38.0,279.0,326.0,-40.0,35.0,14.0,2800.0,339.0,881.0,38.47900113507378,43.88984509466437,28.0,65.97938144329896,1018.0,469.0,141.0
AU,295.0,635.0,103.0,338.0,228.0,329.0,160.0,425.0,255.0,227.0,103.0,48.0,327.0,280.0,49.0,122.0,14.0,2800.0,398.0,973.0,40.90441932168551,46.45669291338583,30.473372781065088,69.30091185410335,1127.0,585.0,151.0
CSB,264.0,596.0,76.0,347.0,157.0,268.0,158.0,280.0,166.0,149.0,119.0,41.0,264.0,254.0,-153.0,25.0,13.0,2600.0,340.0,943.0,36.05514316012725,44.29530201342282,21.902017291066283,58.582089552238806,913.0,438.0,160.0
JRU,329.0,637.0,92.0,319.0,201.0,309.0,157.0,353.0,194.0,193.0,110.0,48.0,329.0,290.0,67.2,132.0,14.0,2800.0,421.0,956.0,44.03765690376569,51.64835164835165,28.84012539184953,65.04854368932038,1135.0,510.0,158.0
SBU,227.0,541.0,101.0,417.0,156.0,235.0,153.0,346.0,195.0,138.0,84.0,38.0,269.0,255.0,-59.0,62.0,14.0,2800.0,328.0,958.0,34.23799582463466,41.95933456561922,24.22062350119904,66.38297872340425,913.0,499.0,122.0
CSJL,319.0,720.0,109.0,422.0,195.0,301.0,211.0,381.0,263.0,164.0,131.0,40.0,311.0,300.0,36.0,100.0,15.0,3000.0,428.0,1142.0,37.478108581436075,44.30555555555556,25.829383886255926,64.78405315614619,1160.0,592.0,171.0
EAC,249.0,598.0,106.0,388.0,235.0,366.0,195.0,426.0,234.0,200.0,101.0,47.0,308.0,309.0,-6.0,95.0,14.0,2800.0,355.0,986.0,36.004056795131845,41.63879598662207,27.31958762886598,64.20765027322405,1051.0,621.0,148.0
League,279.6,604.8,100.3,367.5,205.2,320.1,166.1,377.2,229.5,187.1,105.7,43.2,293.3,289.3,-0.020000000000000285,90.9,14.0,2800.0,379.90000000000003,972.3,39.072302787205594,46.23015873015874,27.292517006802722,64.1049671977507,1065.3,543.3,148.9
