,2PM,2PA,3PM,3PA,FTM,FTA,OFF,DEF,AST,TO,STL,BLK,PF,Fls on:,+/-,GW,GP,MINS,FGM,FGA,FG%,2P%,3P%,FT%,PTS,REB,STK
SBU,95.0,232.0,49.0,199.0,71.0,110.0,71.0,149.0,86.0,56.0,39.0,16.0,137.0,116.0,-23.0,38.0,6.0,1200.0,144.0,431.0,33.41067285382831,40.94827586206897,24.623115577889447,64.54545454545455,408.0,220.0,55.0
CSJL,125.0,286.0,38.0,158.0,87.0,134.0,84.0,129.0,91.0,65.0,54.0,18.0,130.0,128.0,3.0,25.0,6.0,1200.0,163.0,444.0,36.711711711711715,43.70629370629371,24.050632911392405,64.92537313432835,451.0,213.0,72.0
SSCR,157.0,297.0,43.0,159.0,147.0,218.0,71.0,222.0,135.0,110.0,44.0,23.0,148.0,187.0,58.0,63.0,7.0,1400.0,200.0,456.0,43.85964912280702,52.861952861952865,27.044025157232703,67.43119266055047,590.0,293.0,67.0
CSB,109.0,255.0,34.0,173.0,65.0,116.0,70.0,126.0,69.0,71.0,43.0,19.0,114.0,116.0,-90.0,14.0,6.0,1200.0,143.0,428.0,33.41121495327103,42.745098039215684,19.653179190751445,56.03448275862069,385.0,196.0,62.0
LPU,152.0,270.0,43.0,155.0,103.0,154.0,80.0,180.0,114.0,82.0,40.0,19.0,133.0,133.0,19.0,43.0,6.0,1200.0,195.0,425.0,45.88235294117647,56.2962962962963,27.741935483870968,66.88311688311688,536.0,260.0,59.0
AU,140.0,312.0,56.0,183.0,119.0,170.0,71.0,214.0,123.0,108.0,50.0,30.0,161.0,139.0,7.0,66.0,7.0,1400.0,196.0,495.0,39.5959595959596,44.87179487179487,30.601092896174862,70.0,567.0,285.0,80.0
EAC,114.0,259.0,36.0,150.0,93.0,155.0,84.0,195.0,94.0,93.0,41.0,22.0,137.0,137.0,13.0,53.0,6.0,1200.0,150.0,409.0,36.67481662591687,44.01544401544402,24.0,60.0,429.0,279.0,63.0
UPHSD,109.0,245.0,38.0,167.0,69.0,122.0,76.0,161.0,80.0,77.0,56.0,13.0,119.0,108.0,1.0,26.0,6.0,1200.0,147.0,412.0,35.679611650485434,44.48979591836735,22.75449101796407,56.557377049180324,401.0,237.0,69.0
MU,102.0,243.0,41.0,135.0,112.0,163.0,53.0,163.0,88.0,80.0,42.0,16.0,115.0,139.0,-15.0,23.0,6.0,1200.0,143.0,378.0,37.83068783068783,41.97530864197531,30.37037037037037,68.71165644171779,439.0,216.0,58.0
JRU,141.0,275.0,37.0,120.0,96.0,136.0,64.0,146.0,86.0,81.0,55.0,23.0,149.0,120.0,27.0,56.0,6.0,1200.0,178.0,395.0,45.063291139240505,51.27272727272727,30.833333333333332,70.58823529411765,489.0,210.0,78.0
League,124.4,267.4,41.5,159.9,96.2,147.8,72.4,168.5,96.6,82.3,46.4,19.9,134.3,132.3,0.0,40.7,6.2,1240.0,165.9,427.29999999999995,38.82518137140183,46.52206432311145,25.953721075672295,65.08795669824086,469.5,240.9,66.3
