TEAM,MINS,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP,W,L,FG%,2P%,3P%,FT%
AU,1450.0,217.0,520.0,188.0,393.0,29.0,127.0,97.0,167.0,560.0,78.0,196.0,274.0,107.0,89.0,69.0,20.0,89.0,143.0,156.0,-7.0,27.0,7.0,2.0,5.0,41.73076923076923,47.837150127226465,22.834645669291337,58.08383233532934
CSB,1225.0,184.0,424.0,145.0,270.0,39.0,154.0,68.0,111.0,475.0,85.0,193.0,278.0,94.0,87.0,44.0,22.0,66.0,116.0,112.0,90.0,70.0,6.0,5.0,1.0,43.39622641509434,53.7037037037037,25.324675324675326,61.26126126126126
CSJL,1200.0,153.0,365.0,115.0,219.0,38.0,146.0,104.0,135.0,448.0,54.0,160.0,214.0,86.0,98.0,37.0,31.0,68.0,132.0,126.0,-3.0,54.0,6.0,4.0,2.0,41.917808219178085,52.51141552511415,26.027397260273972,77.03703703703704
EAC,1225.0,139.0,436.0,95.0,262.0,44.0,174.0,94.0,160.0,416.0,72.0,156.0,228.0,103.0,70.0,47.0,24.0,71.0,139.0,135.0,-13.0,27.0,6.0,2.0,4.0,31.880733944954127,36.25954198473283,25.28735632183908,58.75
JRU,1200.0,152.0,401.0,115.0,273.0,37.0,128.0,121.0,175.0,462.0,75.0,135.0,210.0,102.0,86.0,43.0,30.0,73.0,122.0,148.0,-27.0,29.0,6.0,2.0,4.0,37.905236907730675,42.124542124542124,28.90625,69.14285714285714
LPU,1225.0,182.0,421.0,131.0,251.0,51.0,170.0,102.0,153.0,517.0,51.0,154.0,205.0,106.0,73.0,40.0,10.0,50.0,134.0,132.0,-19.0,37.0,6.0,3.0,3.0,43.23040380047506,52.191235059760956,30.0,66.66666666666667
MU,1200.0,158.0,402.0,108.0,221.0,50.0,181.0,88.0,136.0,454.0,73.0,162.0,235.0,99.0,72.0,47.0,13.0,60.0,142.0,113.0,15.0,47.0,6.0,4.0,2.0,39.30348258706468,48.86877828054298,27.624309392265193,64.70588235294117
SBU,1225.0,148.0,376.0,99.0,224.0,49.0,152.0,86.0,150.0,431.0,74.0,189.0,263.0,77.0,80.0,28.0,17.0,45.0,116.0,137.0,23.0,42.0,6.0,3.0,3.0,39.361702127659576,44.19642857142857,32.23684210526316,57.333333333333336
SSCR,1400.0,180.0,527.0,134.0,300.0,46.0,227.0,126.0,167.0,532.0,93.0,162.0,255.0,94.0,80.0,63.0,9.0,72.0,190.0,147.0,-58.0,26.0,7.0,2.0,5.0,34.15559772296015,44.666666666666664,20.26431718061674,75.44910179640719
UPHSD,1200.0,146.0,401.0,114.0,261.0,32.0,140.0,76.0,124.0,400.0,69.0,178.0,247.0,98.0,88.0,46.0,23.0,69.0,109.0,117.0,-1.0,48.0,6.0,4.0,2.0,36.408977556109726,43.67816091954023,22.857142857142858,61.29032258064516
League,1255.0,165.9,427.3,124.4,267.4,41.5,159.9,96.2,147.8,469.5,72.4,168.5,240.9,96.6,82.3,46.4,19.9,66.3,134.3,132.3,0.0,40.7,6.2,3.1,3.1,38.825181371401825,46.52206432311145,25.953721075672295,65.08795669824086
