,2PM,2PA,3PM,3PA,FTM,FTA,OFF,DEF,AST,TO,STL,BLK,PF,Fls on:,+/-,GW,GP,MINS,FGM,FGA,FG%,2P%,3P%,FT%,PTS,REB,STK
LPU,100.0,194.0,29.0,101.0,65.0,103.0,58.0,122.0,74.0,52.0,29.0,14.0,87.0,94.0,9.0,28.0,4.0,800.0,129.0,295.0,43.728813559322035,51.54639175257732,28.712871287128714,63.10679611650485,352.0,180.0,43.0
CSJL,104.0,232.0,33.0,133.0,71.0,113.0,68.0,112.0,75.0,56.0,44.0,17.0,107.0,107.0,5.0,25.0,5.0,1000.0,137.0,365.0,37.534246575342465,44.827586206896555,24.81203007518797,62.83185840707964,378.0,180.0,61.0
JRU,110.0,214.0,34.0,105.0,78.0,111.0,51.0,128.0,70.0,64.0,41.0,20.0,120.0,100.0,30.0,56.0,5.0,1000.0,144.0,319.0,45.141065830721004,51.401869158878505,32.38095238095238,70.27027027027027,400.0,179.0,61.0
AU,100.0,226.0,42.0,138.0,79.0,109.0,50.0,158.0,90.0,78.0,35.0,25.0,120.0,92.0,6.0,52.0,5.0,1000.0,142.0,364.0,39.010989010989015,44.24778761061947,30.434782608695652,72.4770642201835,405.0,208.0,60.0
SSCR,112.0,217.0,32.0,116.0,119.0,176.0,59.0,149.0,96.0,81.0,29.0,19.0,112.0,149.0,31.0,41.0,5.0,1000.0,144.0,333.0,43.24324324324324,51.61290322580645,27.586206896551722,67.61363636363636,439.0,208.0,48.0
CSB,86.0,212.0,27.0,141.0,54.0,97.0,62.0,111.0,56.0,62.0,36.0,19.0,97.0,97.0,-65.0,14.0,5.0,1000.0,113.0,353.0,32.01133144475921,40.56603773584906,19.148936170212767,55.670103092783506,307.0,173.0,55.0
SBU,73.0,189.0,43.0,174.0,61.0,96.0,64.0,123.0,70.0,47.0,34.0,13.0,119.0,95.0,-25.0,25.0,5.0,1000.0,116.0,363.0,31.955922865013775,38.62433862433863,24.71264367816092,63.541666666666664,336.0,187.0,47.0
UPHSD,92.0,202.0,35.0,132.0,60.0,108.0,63.0,134.0,70.0,66.0,46.0,13.0,102.0,95.0,9.0,26.0,5.0,1000.0,127.0,334.0,38.02395209580838,45.54455445544554,26.515151515151516,55.55555555555556,349.0,197.0,59.0
MU,71.0,178.0,22.0,85.0,63.0,96.0,39.0,117.0,59.0,59.0,30.0,13.0,71.0,89.0,-11.0,13.0,4.0,800.0,93.0,263.0,35.361216730038024,39.8876404494382,25.88235294117647,65.625,271.0,156.0,43.0
EAC,92.0,225.0,31.0,130.0,77.0,138.0,81.0,164.0,77.0,70.0,36.0,15.0,116.0,114.0,11.0,40.0,5.0,1000.0,123.0,355.0,34.647887323943664,40.888888888888886,23.846153846153847,55.79710144927536,354.0,245.0,51.0
League,94.0,208.9,32.8,125.5,72.7,114.7,59.5,131.8,73.7,63.5,36.0,16.8,105.1,103.2,0.0,32.0,4.8,960.0,126.8,334.4,37.918660287081345,44.997606510292,26.135458167330675,63.38273757628596,359.09999999999997,191.3,52.8
