,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
A. Acop,AU,45.4499999999,3.0,13.0,23.076923076923077,3.0,10.0,30.0,0.0,3.0,0.0,3.0,4.0,75.0,9.0,5.0,4.0,9.0,8.0,1.0,3.0,0.0,3.0,4.0,5.0,9.0,1.0,9.0
C. Libang,AU,101.1500000001,16.0,36.0,44.44444444444444,16.0,34.0,47.05882352941177,0.0,2.0,0.0,2.0,9.0,22.22222222222222,34.0,11.0,13.0,24.0,5.0,6.0,8.0,0.0,8.0,17.0,11.0,-30.0,7.0,17.0
J. Capulong,AU,457.13333333350005,77.0,184.0,41.84782608695652,69.0,146.0,47.26027397260274,8.0,38.0,21.05263157894737,51.0,99.0,51.515151515151516,213.0,30.0,88.0,118.0,20.0,21.0,22.0,18.0,40.0,52.0,86.0,-44.0,7.0,18.0
J. De Leon,AU,37.0666666665,4.0,9.0,44.44444444444444,3.0,5.0,60.0,1.0,4.0,25.0,3.0,4.0,75.0,12.0,2.0,4.0,6.0,9.0,5.0,5.0,0.0,5.0,5.0,5.0,7.0,2.0,8.0
J. Dela Cruz,AU,11.6666666667,1.0,4.0,25.0,1.0,4.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,-14.0,2.0,5.0
B. Rosalin,AU,11.9333333333,1.0,3.0,33.333333333333336,1.0,3.0,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,-19.0,2.0,4.0
J. Espiritu,AU,20.6333333332,1.0,6.0,16.666666666666668,0.0,4.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,3.0,1.0,2.0,3.0,5.0,1.0,0.0,0.0,0.0,4.0,0.0,-23.0,0.0,8.0
K. Flores,AU,39.63333333340001,6.0,19.0,31.57894736842105,5.0,13.0,38.46153846153846,1.0,6.0,16.666666666666668,0.0,1.0,0.0,13.0,3.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,6.0,1.0,-22.0,4.0,7.0
K. Vinoya,AU,436.8833333334,64.0,158.0,40.50632911392405,47.0,93.0,50.53763440860215,17.0,65.0,26.153846153846153,25.0,48.0,52.083333333333336,170.0,11.0,65.0,76.0,30.0,33.0,19.0,5.0,24.0,42.0,41.0,0.0,7.0,18.0
J. Hernal,AU,284.31666666679996,31.0,80.0,38.75,29.0,71.0,40.84507042253521,2.0,9.0,22.22222222222222,32.0,58.0,55.172413793103445,96.0,39.0,43.0,82.0,18.0,13.0,14.0,12.0,26.0,40.0,41.0,-2.0,7.0,17.0
A. Estacio,AU,31.450000000099998,2.0,6.0,33.333333333333336,2.0,6.0,33.333333333333336,0.0,0.0,0.0,2.0,4.0,50.0,6.0,1.0,5.0,6.0,0.0,1.0,1.0,1.0,2.0,5.0,5.0,-28.0,1.0,8.0
Y. Camay,AU,253.64999999990002,30.0,67.0,44.776119402985074,25.0,44.0,56.81818181818182,5.0,23.0,21.73913043478261,20.0,30.0,66.66666666666667,85.0,6.0,16.0,22.0,26.0,22.0,7.0,1.0,8.0,31.0,31.0,8.0,7.0,18.0
A. Borromeo,AU,328.4166666666,29.0,68.0,42.64705882352941,29.0,60.0,48.333333333333336,0.0,8.0,0.0,7.0,19.0,36.8421052631579,65.0,21.0,44.0,65.0,28.0,14.0,18.0,1.0,19.0,36.0,26.0,10.0,7.0,18.0
R. Abiera,AU,204.74999999980002,27.0,103.0,26.21359223300971,12.0,39.0,30.76923076923077,15.0,64.0,23.4375,24.0,34.0,70.58823529411765,93.0,7.0,19.0,26.0,12.0,14.0,8.0,2.0,10.0,15.0,19.0,-61.0,7.0,17.0
