TEAM,MINS,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP,W,L,FG%,2P%,3P%,FT%
AU,425.0,61.0,153.0,55.0,119.0,6.0,34.0,19.0,43.0,147.0,24.0,69.0,93.0,26.0,25.0,21.0,1.0,22.0,41.0,44.0,-9.0,0.0,2.0,0.0,2.0,39.869281045751634,46.21848739495798,17.647058823529413,44.18604651162791
CSB,625.0,87.0,212.0,70.0,138.0,17.0,74.0,34.0,56.0,225.0,46.0,93.0,139.0,45.0,44.0,25.0,14.0,39.0,58.0,62.0,40.0,40.0,3.0,3.0,0.0,41.0377358490566,50.72463768115942,22.972972972972972,60.714285714285715
CSJL,400.0,53.0,112.0,43.0,71.0,10.0,41.0,38.0,51.0,154.0,17.0,51.0,68.0,30.0,33.0,12.0,10.0,22.0,47.0,48.0,1.0,13.0,2.0,1.0,1.0,47.32142857142857,60.563380281690144,24.390243902439025,74.50980392156863
EAC,625.0,69.0,214.0,50.0,139.0,19.0,75.0,51.0,87.0,208.0,28.0,87.0,115.0,52.0,39.0,17.0,18.0,35.0,65.0,76.0,-18.0,14.0,3.0,1.0,2.0,32.242990654205606,35.97122302158273,25.333333333333332,58.62068965517241
JRU,600.0,71.0,190.0,51.0,124.0,20.0,66.0,58.0,82.0,220.0,39.0,64.0,103.0,49.0,44.0,21.0,14.0,35.0,65.0,69.0,-29.0,0.0,3.0,0.0,3.0,37.36842105263158,41.12903225806452,30.303030303030305,70.73170731707317
LPU,600.0,86.0,209.0,59.0,123.0,27.0,86.0,54.0,82.0,253.0,31.0,71.0,102.0,54.0,37.0,20.0,4.0,24.0,75.0,72.0,-13.0,13.0,3.0,1.0,2.0,41.14832535885167,47.96747967479675,31.3953488372093,65.85365853658537
MU,600.0,72.0,201.0,45.0,107.0,27.0,94.0,34.0,52.0,205.0,36.0,80.0,116.0,47.0,40.0,27.0,6.0,33.0,68.0,47.0,-4.0,23.0,3.0,2.0,1.0,35.82089552238806,42.05607476635514,28.72340425531915,65.38461538461539
SBU,625.0,78.0,195.0,51.0,114.0,27.0,81.0,46.0,83.0,229.0,42.0,97.0,139.0,41.0,41.0,14.0,11.0,25.0,62.0,75.0,21.0,27.0,3.0,2.0,1.0,40.0,44.73684210526316,33.333333333333336,55.42168674698795
SSCR,600.0,93.0,251.0,72.0,136.0,21.0,115.0,54.0,74.0,261.0,51.0,69.0,120.0,48.0,26.0,27.0,4.0,31.0,85.0,71.0,-1.0,26.0,3.0,2.0,1.0,37.05179282868526,52.94117647058823,18.26086956521739,72.97297297297297
UPHSD,600.0,78.0,200.0,57.0,128.0,21.0,72.0,39.0,61.0,216.0,40.0,76.0,116.0,49.0,43.0,22.0,9.0,31.0,58.0,54.0,12.0,25.0,3.0,2.0,1.0,39.0,44.53125,29.166666666666668,63.9344262295082
League,570.0,74.8,193.7,55.3,119.9,19.5,73.8,42.7,67.1,211.8,35.4,75.7,111.1,44.1,37.2,20.6,9.1,29.7,62.4,61.8,0.0,18.1,2.8,1.4,1.4,38.61641713990708,46.121768140116764,26.42276422764228,63.63636363636364
