TEAM,MINS,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP,W,L,FG%,2P%,3P%,FT%
AU,2850.0,406.0,1013.0,340.0,730.0,66.0,283.0,200.0,359.0,1078.0,171.0,352.0,523.0,217.0,175.0,143.0,38.0,181.0,286.0,319.0,-49.0,63.0,14.0,5.0,9.0,40.07897334649556,46.57534246575342,23.32155477031802,55.710306406685234
CSB,2850.0,425.0,968.0,326.0,608.0,99.0,360.0,178.0,305.0,1127.0,194.0,438.0,632.0,250.0,218.0,105.0,54.0,159.0,270.0,274.0,158.0,168.0,14.0,12.0,2.0,43.90495867768595,53.61842105263158,27.5,58.36065573770492
CSJL,3125.0,391.0,972.0,287.0,580.0,104.0,392.0,238.0,323.0,1124.0,135.0,431.0,566.0,234.0,236.0,88.0,65.0,153.0,306.0,305.0,-36.0,90.0,15.0,7.0,8.0,40.22633744855967,49.48275862068966,26.53061224489796,73.6842105263158
EAC,2825.0,370.0,1017.0,251.0,623.0,119.0,394.0,198.0,345.0,1057.0,175.0,383.0,558.0,252.0,180.0,107.0,52.0,159.0,314.0,306.0,5.6,98.0,14.0,7.0,7.0,36.38151425762045,40.28892455858748,30.20304568527919,57.391304347826086
JRU,2800.0,371.0,964.0,301.0,676.0,70.0,288.0,256.0,376.0,1068.0,172.0,320.0,492.0,243.0,191.0,106.0,54.0,160.0,292.0,325.0,-67.0,58.0,14.0,4.0,10.0,38.48547717842324,44.52662721893491,24.305555555555557,68.08510638297872
LPU,2850.0,392.0,985.0,281.0,573.0,111.0,412.0,232.0,328.0,1127.0,135.0,358.0,493.0,244.0,163.0,107.0,25.0,132.0,282.0,299.0,-18.0,77.0,14.0,6.0,8.0,39.796954314720814,49.040139616055846,26.941747572815533,70.73170731707317
MU,2825.0,374.0,961.0,255.0,545.0,119.0,416.0,191.0,307.0,1058.0,186.0,371.0,557.0,226.0,190.0,107.0,35.0,142.0,332.0,275.0,40.2,132.0,14.0,11.0,3.0,38.91779396462019,46.788990825688074,28.60576923076923,62.214983713355046
SBU,2850.0,340.0,882.0,218.0,501.0,122.0,381.0,170.0,289.0,972.0,154.0,405.0,559.0,189.0,165.0,70.0,37.0,107.0,255.0,267.0,59.0,118.0,14.0,9.0,5.0,38.54875283446712,43.51297405189621,32.020997375328086,58.8235294117647
SSCR,2875.0,415.0,1097.0,304.0,660.0,111.0,437.0,223.0,307.0,1164.0,185.0,337.0,522.0,207.0,162.0,133.0,22.0,155.0,358.0,276.0,-72.0,52.0,14.0,4.0,10.0,37.83044667274385,46.06060606060606,25.40045766590389,72.63843648208469
UPHSD,3100.0,362.0,996.0,271.0,636.0,91.0,360.0,180.0,285.0,995.0,174.0,432.0,606.0,261.0,215.0,110.0,56.0,166.0,269.0,277.0,-21.0,67.0,15.0,6.0,9.0,36.34538152610442,42.61006289308176,25.27777777777778,63.1578947368421
League,2895.0,384.6,985.5,283.4,613.2,101.2,372.3,206.6,322.4,1077.0,168.1,382.7,550.8,232.3,189.5,107.6,43.8,151.4,296.4,292.3,-0.02,92.3,14.2,7.1,7.1,39.02587519025875,46.216568819308534,27.182379801235562,64.08188585607941
