TEAM,2PM,2PA,3PM,3PA,FTM,FTA,OFF,DEF,AST,TO,STL,BLK,PF,Fls on:,+/-,GW,GP,MINS,FGM,FGA,FG%,2P%,3P%,FT%,PTS,REB,STK
CSB,18.0,45.0,4.25,26.25,10.25,20.25,13.0,22.75,10.75,12.75,7.5,3.75,19.5,20.0,-16.75,0.0,4,200.0,22.25,71.25,31.2280701754,40.0,16.1904761905,50.6172839506,59.0,35.75,11.25
MU,17.75,44.5,5.5,21.25,15.75,24.0,9.75,29.25,14.75,14.75,7.5,3.25,17.75,22.25,-2.75,13.0,4,200.0,23.25,65.75,35.36121673,39.8876404494,25.8823529412,65.625,67.75,39.0,10.75
SBU,14.5,35.75,9.25,38.25,12.25,19.75,13.75,26.5,13.75,9.5,7.25,2.0,25.25,19.25,-2.0,25.0,4,200.0,23.75,74.0,32.0945945946,40.5594405594,24.1830065359,62.0253164557,69.0,40.25,9.25
League,19.975,43.875,6.85,26.175,14.85,23.475,12.55,27.725,15.25,13.275,7.525,3.4,21.875,21.45,0.0,26.4,4,200.0,26.825,70.05,38.2940756602,45.5270655271,26.1700095511,63.2587859425,75.35,40.275,10.925
EAC,18.5,46.5,6.25,25.5,14.5,26.25,16.5,33.0,14.0,13.5,7.25,2.0,23.25,22.25,1.25,27.0,4,200.0,24.75,72.0,34.375,39.7849462366,24.5098039216,55.2380952381,70.25,49.5,9.25
CSJL,20.75,46.25,6.75,26.75,15.5,23.25,13.25,20.75,14.5,10.25,9.0,3.75,22.5,22.0,1.75,25.0,4,200.0,27.5,73.0,37.6712328767,44.8648648649,25.2336448598,66.6666666667,77.25,34.0,12.75
LPU,25.0,48.5,7.25,25.25,16.25,25.75,14.5,30.5,18.5,13.0,7.25,3.5,21.75,23.5,2.25,28.0,4,200.0,32.25,73.75,43.7288135593,51.5463917526,28.7128712871,63.1067961165,88.0,45.0,10.75
JRU,23.0,44.25,6.25,21.5,16.0,23.25,11.0,23.5,14.75,13.0,9.25,4.0,25.5,20.5,3.25,41.0,4,200.0,29.25,65.75,44.4866920152,51.9774011299,29.0697674419,68.8172043011,80.75,34.5,13.25
UPHSD,19.25,41.25,7.0,23.75,11.0,17.75,11.5,27.5,13.25,13.5,8.75,2.25,19.25,18.0,3.75,26.0,4,200.0,26.25,65.0,40.384615384599996,46.6666666667,29.4736842105,61.9718309859,70.5,39.0,11.0
SSCR,21.5,40.75,7.5,25.75,22.5,33.75,11.75,29.0,19.25,16.75,5.25,3.5,22.5,29.25,4.25,27.0,4,200.0,29.0,66.5,43.6090225564,52.7607361963,29.1262135922,66.6666666667,88.0,40.75,8.75
AU,21.5,46.0,8.5,27.5,14.5,20.75,10.5,34.5,19.0,15.75,6.25,6.0,21.5,17.5,5.0,52.0,4,200.0,30.0,73.5,40.8163265306,46.7391304348,30.9090909091,69.8795180723,83.0,45.0,12.25
